id,type,price,location,neighborhood,bedrooms,bathrooms,area_m2,description,currency
1,Office,1854095,Assiut,6th of October,2,3,452,Modern apartment near metro station,EGP
2,Apartment,7812888,Mansoura,Maadi,3,1,114,Spacious villa with garden,EGP
3,Apartment,3355630,Alexandria,Maadi,3,3,293,Office space in business district,EGP
4,Land,7714422,Cairo,Maadi,3,2,454,Newly renovated flat with balcony,EGP
5,Land,5678374,Mansoura,Zamalek,1,1,466,Newly renovated flat with balcony,EGP
6,Villa,9314514,Mansoura,Zamalek,3,2,426,Land plot suitable for building,EGP
7,Apartment,2410370,Cairo,Maadi,2,3,321,Modern apartment near metro station,EGP
8,Office,5586543,Mansoura,Zamalek,3,1,239,Office space in business district,EGP
9,Apartment,7819786,Assiut,6th of October,3,3,457,Modern apartment near metro station,EGP
10,Office,4793592,Cairo,Heliopolis,5,2,393,Office space in business district,EGP
11,Villa,1891528,Alexandria,Zamalek,5,2,344,Spacious villa with garden,EGP
12,Land,6544416,Alexandria,Zamalek,5,2,424,Spacious villa with garden,EGP
13,Apartment,2486673,Giza,Heliopolis,3,2,298,Modern apartment near metro station,EGP
14,Villa,5561212,Giza,Heliopolis,2,1,454,Modern apartment near metro station,EGP
15,Office,8452824,Assiut,Maadi,2,3,139,Land plot suitable for building,EGP
16,Villa,5326278,Giza,Heliopolis,3,3,324,Newly renovated flat with balcony,EGP
17,Apartment,8539577,Mansoura,Heliopolis,4,1,85,Office space in business district,EGP
18,Villa,8456399,Alexandria,Zamalek,2,2,172,Modern apartment near metro station,EGP
19,Apartment,8979919,Giza,6th of October,5,1,423,Modern apartment near metro station,EGP
20,Office,6530849,Cairo,Heliopolis,5,3,152,Office space in business district,EGP
21,Villa,7369905,Alexandria,Nasr City,4,1,370,Land plot suitable for building,EGP
22,Villa,9426259,Assiut,Heliopolis,2,2,63,Office space in business district,EGP
23,Office,9827183,Giza,Maadi,2,3,330,Office space in business district,EGP
24,Land,1476020,Assiut,Nasr City,1,1,118,Spacious villa with garden,EGP
25,Office,2583507,Mansoura,Zamalek,4,2,96,Land plot suitable for building,EGP
26,Apartment,6583752,Cairo,Heliopolis,5,2,375,Land plot suitable for building,EGP
27,Apartment,8750294,Mansoura,Heliopolis,1,3,324,Land plot suitable for building,EGP
28,Land,9962807,Giza,6th of October,4,2,295,Land plot suitable for building,EGP
29,Land,9833185,Assiut,Nasr City,1,3,222,Newly renovated flat with balcony,EGP
30,Apartment,1267702,Assiut,6th of October,4,2,349,Land plot suitable for building,EGP
31,Land,4978862,Alexandria,Zamalek,1,3,491,Newly renovated flat with balcony,EGP
32,Apartment,3311976,Alexandria,Maadi,3,3,87,Modern apartment near metro station,EGP
